rating,production_year,director,age_rating,duration,budget,target,target_log,main_genre,month,director_film_count,actors_fame
8.6,2019,Гай Ричи,18+,113,22000000.0,115171795.0,18.56193544117962,криминал,декабрь,5,46
8.0,2013,Мартин Скорсезе,18+,180,100000000.0,392000694.0,19.786774168161333,драма,декабрь,26,54
8.3,1990,Крис Коламбус,0+,103,18000000.0,476684675.0,19.98236577155676,комедия,ноябрь,12,39
8.1,2019,Райан Джонсон,18+,130,40000000.0,312897920.0,19.561387561125805,детектив,сентябрь,6,40
8.5,2018,Other,18+,130,23000000.0,321752656.0,19.589293659262694,биография,сентябрь,1,25
8.0,2009,Джеймс Кэмерон,12+,162,237000000.0,2923706026.0,21.796117835475936,фантастика,декабрь,7,62
8.7,1999,Дэвид Финчер,18+,139,63000000.0,100853753.0,18.429182035355772,триллер,сентябрь,11,68
8.5,2009,Мартин Скорсезе,18+,138,80000000.0,294804195.0,19.501821948164643,триллер,февраль,26,70
9.1,1994,Other,18+,142,25000000.0,28418687.0,17.162557479706727,драма,сентябрь,4,66
8.3,2016,Other,6+,108,150000000.0,1023784195.0,20.746771594283132,мультфильм,февраль,1,41
9.1,1999,Other,18+,189,60000000.0,286801374.0,19.47430045747324,драма,декабрь,4,66
8.7,2010,Кристофер Нолан,12+,148,160000000.0,828322032.0,20.534912564273057,фантастика,июль,8,53
8.6,2014,Кристофер Нолан,18+,169,165000000.0,733202212.0,20.41293209083744,фантастика,октябрь,8,86
8.4,2003,Гор Вербински,12+,143,140000000.0,654264015.0,20.299021520620066,фэнтези,июнь,9,61
8.9,1994,Роберт Земекис,18+,142,55000000.0,677387716.0,20.333754364141598,драма,июнь,19,86
6.9,2018,Рубен Фляйшер,18+,112,100000000.0,856085151.0,20.56788040462595,фантастика,октябрь,6,36
8.4,1997,Джеймс Кэмерон,12+,194,200000000.0,2264743305.0,21.540727258333124,мелодрама,ноябрь,7,47
8.0,2011,Нил Бёргер,18+,105,26000000.0,161849455.0,18.902177171015442,триллер,март,8,100
8.1,2018,"Энтони Руссо, Джо Руссо",18+,149,321000000.0,2048359754.0,21.440305189829875,фантастика,апрель,7,80
8.2,2001,Other,18+,90,60000000.0,484409218.0,19.998440599189646,мультфильм,апрель,1,77
7.9,2019,"Энтони Руссо, Джо Руссо",18+,181,356000000.0,2799439100.0,21.75268491263198,фантастика,апрель,7,87
8.7,1994,Квентин Тарантино,18+,154,8000000.0,213928762.0,19.1811536297162,криминал,май,9,175
8.0,2007,Other,0+,111,150000000.0,623722818.0,20.251216625723725,мультфильм,июнь,1,14
7.7,2021,Дени Вильнёв,12+,155,165000000.0,407573628.0,19.825732156532716,фантастика,сентябрь,6,26
